x,y,z
0.77,-0.04431847,-7.905393
0.7710162,-0.04202122,-7.91
1.768317,-0.05015139,-7.91
1.768317,-0.04744133,-7.91
1.768317,-0.04473127,-7.91
1.768317,-0.04202122,-7.91
1.768317,-0.03931117,-7.91
1.768317,-0.03660111,-7.91
1.768317,-0.03389105,-7.91
1.768317,-0.031181,-7.91
0.77,-0.1496399,-7.63888
0.77,-0.1465783,-7.63888
0.7699999,-0.1480817,-7.629454
0.7699999,-0.149597,-7.619952
0.77,-0.1481902,-7.666712
0.77,-0.1496821,-7.657507
0.77,-0.1466447,-7.657507
0.77,-0.1481364,-7.64823
0.77,-0.01987419,-7.905393
0.7710162,-0.01763072,-7.91
0.77,-0.01715816,-7.905393
0.7710162,-0.01492067,-7.91
0.77,-0.01444213,-7.905393
0.7710162,-0.01221061,-7.91
0.77,-0.0117261,-7.905393
0.7710162,-0.009500554,-7.91
0.77,-0.03073831,-7.905393
0.7710162,-0.02847094,-7.91
0.77,-0.02802229,-7.905393
0.7710162,-0.02576089,-7.91
0.77,-0.02530625,-7.905393
0.7710162,-0.02305083,-7.91
0.77,-0.02259023,-7.905393
0.7710162,-0.02034077,-7.91
1.768317,-0.01763072,-7.91
1.768317,-0.01492067,-7.91
1.768317,-0.01221061,-7.91
1.768317,-0.009500554,-7.91
1.768317,-0.02847094,-7.91
1.768317,-0.02576089,-7.91
1.768317,-0.02305083,-7.91
1.768317,-0.02034077,-7.91
0.77,-0.1479696,-7.590986
0.77,-0.1495092,-7.581173
0.77,-0.1463728,-7.581173
0.77,-0.1479122,-7.57128
0.7699999,-0.1465109,-7.619952
0.77,-0.1480261,-7.610375
0.77,-0.1495535,-7.60072
0.77,-0.1464424,-7.60072
0.77,-0.009010074,-7.905393
0.7710162,-0.006790498,-7.91
0.77,-0.006294044,-7.905393
0.7710162,-0.004080443,-7.91
0.77,-0.003578014,-7.905393
0.7710162,-0.001370388,-7.91
0.77,-0.0008619832,-7.905393
0.7710162,0.001339668,-7.91
0.77,0.001854047,-7.905393
0.7710162,0.004049724,-7.91
0.77,0.004570077,-7.905393
0.7710162,0.006759779,-7.91
0.77,0.007286108,-7.905393
0.7710162,0.009469834,-7.91
0.77,0.01000214,-7.905393
0.7710162,0.01217989,-7.91
1.768317,0.004049724,-7.91
1.768317,0.006759779,-7.91
1.768317,0.009469834,-7.91
1.768317,0.01217989,-7.91
1.768317,-0.006790498,-7.91
1.768317,-0.004080443,-7.91
1.768317,-0.001370388,-7.91
1.768317,0.001339668,-7.91
0.7699999,-0.1462301,-7.54111
0.77,-0.1477945,-7.530886
0.7699999,-0.1494642,-7.561306
0.7699999,-0.146302,-7.561306
0.77,-0.1478538,-7.55125
0.7699999,-0.1494184,-7.54111
0.77,0.02358229,-7.905393
0.7710162,0.02573017,-7.91
0.77,0.02629832,-7.905393
0.7710162,0.02844022,-7.91
0.77,0.02901435,-7.905393
0.7710162,0.03115028,-7.91
0.77,0.03173038,-7.905393
0.7710162,0.03386033,-7.91
0.77,-0.149372,-7.520576
0.77,-0.1461569,-7.520576
0.77,0.01271817,-7.905393
0.7710162,0.01488995,-7.91
0.77,0.0154342,-7.905393
0.7710162,0.0176,-7.91
0.77,0.01815023,-7.905393
0.7710162,0.02031006,-7.91
0.77,0.02086626,-7.905393
0.7710162,0.02302011,-7.91
1.768317,0.02573017,-7.91
1.768317,0.02844022,-7.91
1.768317,0.03115028,-7.91
1.768317,0.03386033,-7.91
1.768317,0.01488995,-7.91
1.768317,0.0176,-7.91
1.768317,0.02031006,-7.91
1.768317,0.02302011,-7.91
0.77,0.04531053,-7.905393
0.7710162,0.04741061,-7.91
0.77,0.04802656,-7.905393
0.7710162,0.05012067,-7.91
0.77,0.05074259,-7.905393
0.7710162,0.05283072,-7.91
0.77,0.05345862,-7.905393
0.7710162,0.05554078,-7.91
0.7699999,-0.1492765,-7.478462
0.7699999,-0.1460069,-7.478462
0.7699999,-0.1476104,-7.467709
0.77,-0.1492276,-7.456864
0.77,0.03444641,-7.905393
0.7710162,0.03657039,-7.91
0.77,0.03716244,-7.905393
0.7710162,0.03928044,-7.91
0.77,0.03987847,-7.905393
0.7710162,0.0419905,-7.91
0.77,0.0425945,-7.905393
0.7710162,0.04470056,-7.91
0.7699999,-0.1477341,-7.51018
0.7699999,-0.1493246,-7.499696
0.7699999,-0.1460826,-7.499696
0.77,-0.1476728,-7.489124
1.768317,0.04741061,-7.91
1.768317,0.05012067,-7.91
1.768317,0.05283072,-7.91
1.768317,0.05554078,-7.91
1.768317,0.03657039,-7.91
1.768317,0.03928044,-7.91
1.768317,0.0419905,-7.91
1.768317,0.04470056,-7.91
0.7699999,-0.1474824,-7.423765
0.77,-0.1491272,-7.412539
0.77,-0.1457721,-7.412539
0.77,-0.1474167,-7.401216
0.77,-0.14593,-7.456864
0.77,-0.1475469,-7.445926
0.77,-0.1491778,-7.434894
0.77,-0.1458517,-7.434894
0.77,0.06703877,-7.905393
0.7710162,0.06909105,-7.91
0.77,0.0697548,-7.905393
0.7710162,0.07180111,-7.91
0.77,0.07247083,-7.905393
0.7710162,0.07451116,-7.91
0.77,0.07518686,-7.905393
0.7710162,0.07722122,-7.91
0.77,0.05617465,-7.905393
0.7710162,0.05825084,-7.91
0.77,0.05889068,-7.905393
0.7710162,0.06096089,-7.91
